order_id,date,product,category,unit_price,quantity,customer_email,city,revenue
1000,2025-04-13,Smartphone,Accessories,622.3495793134639,2,client@yahoo.com,Madrid,1244.6991586269278
1001,2025-12-15,Monitor,Electronics,609.6609842190227,5,user@gmail.com,Valencia,3048.3049210951135
1002,2025-09-28,Keyboard,Electronics,619.5239991425716,3,admin@outlook.com,Valencia,1858.571997427715
1003,2025-04-17,Monitor,Accessories,609.6609842190227,1,user@gmail.com,Madrid,609.6609842190227
1004,2025-03-13,Laptop,Office,602.8419738876506,2,admin@outlook.com,Bilbao,1205.6839477753012
1005,2025-07-08,Monitor,Electronics,609.6609842190227,2,admin@outlook.com,Bilbao,1219.3219684380454
1006,2025-01-21,Keyboard,Electronics,619.5239991425716,1,user@gmail.com,Bilbao,619.5239991425716
1007,2025-04-13,Laptop,Electronics,602.8419738876506,4,client@yahoo.com,Madrid,2411.3678955506025
1008,2025-05-02,Headphones,Accessories,599.5122404156701,4,user@gmail.com,Bilbao,2398.0489616626805
1009,2025-08-03,Laptop,Electronics,602.8419738876506,5,client@yahoo.com,Barcelona,3014.209869438253
1010,2025-11-27,Smartphone,Accessories,622.3495793134639,2,user@gmail.com,Bilbao,1244.6991586269278
1011,2025-03-29,Laptop,Electronics,602.8419738876506,5,admin@outlook.com,Madrid,3014.209869438253
1012,2025-04-10,Headphones,Electronics,599.5122404156701,1,user@gmail.com,Bilbao,599.5122404156701
1013,2025-12-26,Monitor,Accessories,609.6609842190227,5,user@gmail.com,Barcelona,3048.3049210951135
1014,2025-06-01,Laptop,Electronics,602.8419738876506,2,client@yahoo.com,Madrid,1205.6839477753012
1015,2025-05-11,Laptop,Electronics,602.8419738876506,4,user@gmail.com,Valencia,2411.3678955506025
1016,2025-05-30,Laptop,Office,602.8419738876506,4,user@gmail.com,Madrid,2411.3678955506025
1017,2025-11-05,Laptop,Office,602.8419738876506,1,client@yahoo.com,Sevilla,602.8419738876506
1018,2025-09-15,Headphones,Accessories,599.5122404156701,3,client@yahoo.com,Valencia,1798.5367212470105
1019,2025-12-10,Keyboard,Office,619.5239991425716,5,user@gmail.com,Valencia,3097.619995712858
1020,2025-10-21,Keyboard,Electronics,619.5239991425716,1,user@gmail.com,Madrid,619.5239991425716
1021,2025-07-11,Laptop,Electronics,602.8419738876506,4,client@yahoo.com,Sevilla,2411.3678955506025
1022,2025-10-04,Headphones,Accessories,599.5122404156701,2,client@yahoo.com,Valencia,1199.0244808313403
1023,2025-06-10,Headphones,Accessories,599.5122404156701,2,client@yahoo.com,Bilbao,1199.0244808313403
1024,2025-11-10,Laptop,Accessories,602.8419738876506,3,admin@outlook.com,Sevilla,1808.525921662952
1025,2025-01-22,Smartphone,Electronics,622.3495793134639,3,user@gmail.com,Sevilla,1867.0487379403917
1026,2025-09-10,Laptop,Electronics,602.8419738876506,4,user@gmail.com,Madrid,2411.3678955506025
1027,2025-08-24,Smartphone,Office,622.3495793134639,3,admin@outlook.com,Madrid,1867.0487379403917
1028,2025-12-11,Laptop,Electronics,602.8419738876506,3,admin@outlook.com,Madrid,1808.525921662952
1029,2025-02-18,Smartphone,Electronics,622.3495793134639,2,admin@outlook.com,Sevilla,1244.6991586269278
1030,2025-02-28,Smartphone,Electronics,622.3495793134639,5,user@gmail.com,Barcelona,3111.7478965673195
1031,2025-06-19,Laptop,Electronics,602.8419738876506,2,admin@outlook.com,Madrid,1205.6839477753012
1032,2025-07-07,Smartphone,Accessories,622.3495793134639,2,client@yahoo.com,Barcelona,1244.6991586269278
1033,2025-09-28,Monitor,Electronics,609.6609842190227,4,user@gmail.com,Valencia,2438.6439368760907
1034,2025-07-09,Keyboard,Electronics,619.5239991425716,4,user@gmail.com,Bilbao,2478.0959965702864
1035,2025-06-24,Headphones,Electronics,599.5122404156701,5,user@gmail.com,Bilbao,2997.5612020783506
1036,2025-02-20,Smartphone,Electronics,622.3495793134639,1,client@yahoo.com,Barcelona,622.3495793134639
1037,2025-12-30,Smartphone,Electronics,622.3495793134639,3,user@gmail.com,Sevilla,1867.0487379403917
1038,2025-02-24,Headphones,Accessories,599.5122404156701,3,admin@outlook.com,Bilbao,1798.5367212470105
1039,2025-09-01,Smartphone,Accessories,622.3495793134639,2,user@gmail.com,Barcelona,1244.6991586269278
1040,2025-11-16,Headphones,Electronics,599.5122404156701,2,user@gmail.com,Madrid,1199.0244808313403
1041,2025-05-11,Laptop,Office,602.8419738876506,5,user@gmail.com,Barcelona,3014.209869438253
1042,2025-11-03,Monitor,Accessories,609.6609842190227,3,user@gmail.com,Valencia,1828.982952657068
1043,2025-05-15,Monitor,Accessories,609.6609842190227,2,user@gmail.com,Barcelona,1219.3219684380454
1044,2025-01-21,Keyboard,Accessories,619.5239991425716,2,user@gmail.com,Madrid,1239.0479982851432
1045,2025-11-25,Smartphone,Accessories,622.3495793134639,4,client@yahoo.com,Barcelona,2489.3983172538556
1046,2025-06-16,Keyboard,Electronics,619.5239991425716,1,user@gmail.com,Madrid,619.5239991425716
1047,2025-10-01,Laptop,Accessories,602.8419738876506,5,admin@outlook.com,Madrid,3014.209869438253
1048,2025-03-30,Monitor,Electronics,609.6609842190227,1,client@yahoo.com,Valencia,609.6609842190227
1049,2025-11-12,Laptop,Office,602.8419738876506,1,admin@outlook.com,Valencia,602.8419738876506
1050,2025-01-14,Laptop,Electronics,602.8419738876506,5,client@yahoo.com,Bilbao,3014.209869438253
1051,2025-08-30,Smartphone,Electronics,622.3495793134639,3,client@yahoo.com,Madrid,1867.0487379403917
1052,2025-09-22,Laptop,Accessories,602.8419738876506,2,client@yahoo.com,Madrid,1205.6839477753012
